id,full_text,annotator_1,annotator_2,annotator_3,label
1349005840745984007,"Την Τετάρτη το πρωί, στις 9:15 στον ΣΚΑΪ και την εκπομπή ""Σήμερα"" #Πλακιωτάκης #ΣΚΑΪ https://t.co/PynuyD0upJ",0,0,0,0
1352200868943245313,Προχειρογράφημα ο νέος Οργανισμός Εσωτερικής Υπηρεσίας του Δήμου Θεσσαλονίκης. Δεν λαμβάνει υπόψη και δεν ανταποκρίνεται στις απαιτήσεις σύγχρονης διακυβέρνησης των δήμων. Δεν εκσυγχρονίζει τη λειτουργία του Δήμου Θεσσαλονίκης. https://t.co/qbZZ5XsbpC,-1,-1,-1,-1
1404165609039056901,Μετά την υπογραφή της Συμφωνίας των Πρεσπών την αποκλειστική χρήση του όρου «Μακεδονία» τον έχει  η Ελλάδα. Η γειτονική μας χώρα είναι η Βόρεια Μακεδονία και ως τέτοια πρέπει να μετέχει στις αθλητικές διοργανώσεις. Η κυβέρνηση να απαιτήσει την απαρέγκλιτη εφαρμογή της Συμφωνίας.,0,0,0,0
1403287144815341577,"Αυτοί που έκλεισαν την ΕΡΤ,φιμώνουν σήμερα δια του κ.Τασούλα την αξ.αντιπολίτευση&amp;τον Προέδρό της,που ο κ.Μητσοτάκης δεν απαντάει καν στις Ερωτήσεις του Με επιχειρήματα που δεν αντέχουν σε κριτική, ο αυταρχισμός, ο αποκλεισμός της αντίθεσης&amp;ο έλεγχος των θεσμών φτάνουν&amp;στη Βουλή!",-1,-1,-1,-1
1390244120229289988,"Όταν η αδικία γίνεται νόμος, η αντίσταση γίνεται καθήκον! Στο #Ηράκλειο, στην κινητοποίηση του #ΣΥΡΙΖΑ-ΠΣ για την Εργατική #Πρωτομαγια. #Εργατικη_Πρωτομαγια #8ωρο #χατζηδακης #Απεργια_6Μαη https://t.co/GxUk2u5Aj3",-1,0,0,0
1402631153354428420,@tsouzeisuzi Ρε τι σου προκαλεί ένα τσούξιμο! Άει στο γιατρό να το δεις!,-1,0,-1,-1
1381990969558642689,Ο Πρόεδρος του ΣΥΡΙΖΑ – Προοδευτική Συμμαχία Αλέξης Τσίπρας παρουσιάζει το σχέδιο του ΣΥΡΙΖΑ - ΠΣ για τη βιώσιμη επανεκκίνηση της οικονομίας #ΣΥΡΙΖΑ https://t.co/c5Q76uTsBf,0,0,0,0
1358839717161291780,"Η μία πολυεθνική μετά την άλλη εγκαταλείπουν την Ελλάδα, με διάφορες δικαιολογίες κάθε φορά - ενώ η πραγματική αιτία είναι η κάθετη πτώση της ζήτησης, λόγω φτωχοποίησης των Ελλήνων. Είναι  απίστευτο αυτό που συμβαίνει - ενώ θα το βρούμε μπροστά μας, μετά τον Covid @ellinikilisi https://t.co/5291us83X7",-1,-1,-1,-1
1374793309831462917,"Ποιος είναι ο λόγος εκποίησης της  Εγνατίας; Γιατί προκηρύσσει διαγωνισμούς το ΤΑΙΠΕΔ, αφού δεν του ανήκει η Εγνατία και γιατί αναφέρεται στην ιστοσελίδα του; @ellinikilisi  Ισχύει ότι κατάσχονται τα έσοδα διοδίων από τράπεζες; https://t.co/Tcbbo4Osgc via @YouTube",-1,-1,-1,-1
1377655727829946369,"@Hellenist_ @MeaCulpagr Ακόμα κι αν κάποιος -εντός, εκτός ή οπουδήποτε- δεν αρέσκεται, η αλήθεια δεν είναι ζήτημα αρεσκείας. Τα είπα όπως ακριβώς είναι. Καλό απόγευμα!",1,-1,0,-1
1401487579485200388,"Θυμιανή Παναγία, Σφακιά, επέτειος σήμερα. #1821 https://t.co/4f4MJEFT4K",0,0,0,0
1399049586761740292,Η Ελλάδα είναι θεσμικά ανάπηρη και ανολοκλήρωτη  γιατί δεν κυβερνάται από πολιτικούς και με κανόνες αλλά από τσιφλικάδες και φεουδάρχες https://t.co/RJBCHO13hm,-1,-1,-1,-1
